codigo,version,descripcion,nivel,codigo_padre
A,CNAE-2009,"Agricultura, ganadería, silvicultura y pesca",1,
B,CNAE-2009,Industrias extractivas,1,
C,CNAE-2009,Industria manufacturera,1,
D,CNAE-2009,"Suministro de energía eléctrica, gas, vapor y aire acondicionado",1,
E,CNAE-2009,"Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",1,
F,CNAE-2009,Construcción,1,
G,CNAE-2009,Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,1,
H,CNAE-2009,Transporte y almacenamiento,1,
I,CNAE-2009,Hostelería,1,
J,CNAE-2009,Información y comunicaciones,1,
K,CNAE-2009,Actividades financieras y de seguros,1,
L,CNAE-2009,Actividades inmobiliarias,1,
M,CNAE-2009,"Actividades profesionales, científicas y técnicas",1,
N,CNAE-2009,Actividades administrativas y servicios auxliares,1,
O,CNAE-2009,Administración Pública y defensa; Seguridad Social obligatoria,1,
P,CNAE-2009,Educación,1,
Q,CNAE-2009,Actividades sanitarias y de servicios sociales,1,
R,CNAE-2009,"Actividades artísticas, recreativas y de entrenimiento",1,
S,CNAE-2009,Otros servicios,1,
T,CNAE-2009,Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio,1,
U,CNAE-2009,Actividades de organizaciones y organismos extraterritoriales,1,
01,CNAE-2009,"Agricultura, ganadería, caza y servicios relacionados con las mismas",2,A
02,CNAE-2009,Silvicultura y explotación forestal,2,A
03,CNAE-2009,Pesca y acuicultura,2,A
05,CNAE-2009,"Extracción de antracita, hulla y lignito",2,B
06,CNAE-2009,Extracción de crudo de petróleo y gas natural,2,B
07,CNAE-2009,Extracción de minerales metálicos,2,B
08,CNAE-2009,Otras industrias extractivas,2,B
09,CNAE-2009,Actividades de apoyo a las industrias extractivas,2,B
10,CNAE-2009,Industria de la alimentación,2,C
11,CNAE-2009,Fabricación de bebidas,2,C
12,CNAE-2009,Industria del tabaco,2,C
13,CNAE-2009,Industria textil,2,C
14,CNAE-2009,Confección de prendas de vestir,2,C
15,CNAE-2009,Industria del cuero y del calzado,2,C
16,CNAE-2009,"Industria de la madera y del corcho, excepto muebles; cestería y espartería",2,C
17,CNAE-2009,Industria del papel,2,C
18,CNAE-2009,Artes gráficas y reproducción de soportes grabados,2,C
19,CNAE-2009,Coquerías y refino de petróleo,2,C
20,CNAE-2009,Industria química,2,C
21,CNAE-2009,Fabricación de productos farmacéuticos,2,C
22,CNAE-2009,Fabricación de productos de caucho y plásticos,2,C
23,CNAE-2009,Fabricación de otros productos minerales no metálicos,2,C
24,CNAE-2009,"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones",2,C
25,CNAE-2009,"Fabricación de productos metálicos, excepto maquinaria y equipo",2,C
26,CNAE-2009,"Fabricación de productos informáticos, electrónicos y ópticos",2,C
27,CNAE-2009,Fabricación de material y equipo eléctrico,2,C
