codigo_origen,version_origen,codigo_destino,version_destino,nivel
A,CNAE-2009,A,CNAE-2025,1
01,CNAE-2009,01,CNAE-2025,2
011,CNAE-2009,011,CNAE-2025,3
0111,CNAE-2009,0111,CNAE-2025,4
0112,CNAE-2009,0112,CNAE-2025,4
0113,CNAE-2009,0113,CNAE-2025,4
0114,CNAE-2009,0114,CNAE-2025,4
0115,CNAE-2009,0115,CNAE-2025,4
0116,CNAE-2009,0116,CNAE-2025,4
0119,CNAE-2009,0113,CNAE-2025,4
0119,CNAE-2009,0119,CNAE-2025,4
012,CNAE-2009,011,CNAE-2025,3
012,CNAE-2009,012,CNAE-2025,3
0121,CNAE-2009,0121,CNAE-2025,4
0122,CNAE-2009,0122,CNAE-2025,4
0123,CNAE-2009,0123,CNAE-2025,4
0124,CNAE-2009,0124,CNAE-2025,4
0125,CNAE-2009,0125,CNAE-2025,4
0126,CNAE-2009,0126,CNAE-2025,4
0127,CNAE-2009,0127,CNAE-2025,4
0128,CNAE-2009,0113,CNAE-2025,4
0128,CNAE-2009,0128,CNAE-2025,4
0129,CNAE-2009,0129,CNAE-2025,4
013,CNAE-2009,013,CNAE-2025,3
0130,CNAE-2009,0130,CNAE-2025,4
014,CNAE-2009,014,CNAE-2025,3
0141,CNAE-2009,0141,CNAE-2025,4
0142,CNAE-2009,0141,CNAE-2025,4
0142,CNAE-2009,0142,CNAE-2025,4
0143,CNAE-2009,0143,CNAE-2025,4
0144,CNAE-2009,0144,CNAE-2025,4
0145,CNAE-2009,0145,CNAE-2025,4
0146,CNAE-2009,0146,CNAE-2025,4
0147,CNAE-2009,0147,CNAE-2025,4
0149,CNAE-2009,0147,CNAE-2025,4
0149,CNAE-2009,0148,CNAE-2025,4
015,CNAE-2009,015,CNAE-2025,3
0150,CNAE-2009,0150,CNAE-2025,4
016,CNAE-2009,014,CNAE-2025,3
016,CNAE-2009,016,CNAE-2025,3
0161,CNAE-2009,0161,CNAE-2025,4
0162,CNAE-2009,0147,CNAE-2025,4
0162,CNAE-2009,0162,CNAE-2025,4
0163,CNAE-2009,0163,CNAE-2025,4
0164,CNAE-2009,0163,CNAE-2025,4
017,CNAE-2009,017,CNAE-2025,3
0170,CNAE-2009,0170,CNAE-2025,4
02,CNAE-2009,02,CNAE-2025,2
021,CNAE-2009,021,CNAE-2025,3
0210,CNAE-2009,0210,CNAE-2025,4
022,CNAE-2009,022,CNAE-2025,3
0220,CNAE-2009,0220,CNAE-2025,4
023,CNAE-2009,023,CNAE-2025,3
0230,CNAE-2009,0230,CNAE-2025,4
024,CNAE-2009,024,CNAE-2025,3
0240,CNAE-2009,0240,CNAE-2025,4
03,CNAE-2009,01,CNAE-2025,2
03,CNAE-2009,03,CNAE-2025,2
031,CNAE-2009,031,CNAE-2025,3
031,CNAE-2009,033,CNAE-2025,3
0311,CNAE-2009,0311,CNAE-2025,4
0311,CNAE-2009,0330,CNAE-2025,4
0312,CNAE-2009,0312,CNAE-2025,4
0312,CNAE-2009,0330,CNAE-2025,4
032,CNAE-2009,014,CNAE-2025,3
032,CNAE-2009,032,CNAE-2025,3
032,CNAE-2009,033,CNAE-2025,3
0321,CNAE-2009,0321,CNAE-2025,4
0321,CNAE-2009,0330,CNAE-2025,4
0322,CNAE-2009,0148,CNAE-2025,4
0322,CNAE-2009,0322,CNAE-2025,4
0322,CNAE-2009,0330,CNAE-2025,4
B,CNAE-2009,B,CNAE-2025,1
05,CNAE-2009,05,CNAE-2025,2
051,CNAE-2009,051,CNAE-2025,3
0510,CNAE-2009,0510,CNAE-2025,4
052,CNAE-2009,052,CNAE-2025,3
0520,CNAE-2009,0520,CNAE-2025,4
06,CNAE-2009,06,CNAE-2025,2
061,CNAE-2009,061,CNAE-2025,3
0610,CNAE-2009,0610,CNAE-2025,4
062,CNAE-2009,062,CNAE-2025,3
0620,CNAE-2009,0620,CNAE-2025,4
07,CNAE-2009,07,CNAE-2025,2
071,CNAE-2009,071,CNAE-2025,3
0710,CNAE-2009,0710,CNAE-2025,4
072,CNAE-2009,072,CNAE-2025,3
0721,CNAE-2009,0721,CNAE-2025,4
0729,CNAE-2009,0729,CNAE-2025,4
