codigo_ine,nombre,provincia,cod_provincia,ccaa
01051,Agurain/Salvatierra,Araba/Álava,01,País Vasco
01001,Alegría-Dulantzi,Araba/Álava,01,País Vasco
01002,Amurrio,Araba/Álava,01,País Vasco
01049,Añana,Araba/Álava,01,País Vasco
01003,Aramaio,Araba/Álava,01,País Vasco
01006,Armiñón,Araba/Álava,01,País Vasco
01037,Arraia-Maeztu,Araba/Álava,01,País Vasco
01008,Arratzua-Ubarrundia,Araba/Álava,01,País Vasco
01004,Artziniega,Araba/Álava,01,País Vasco
01009,Asparrena,Araba/Álava,01,País Vasco
01010,Ayala/Aiara,Araba/Álava,01,País Vasco
01011,Baños de Ebro/Mañueta,Araba/Álava,01,País Vasco
01013,Barrundia,Araba/Álava,01,País Vasco
01014,Berantevilla,Araba/Álava,01,País Vasco
01016,Bernedo,Araba/Álava,01,País Vasco
01017,Campezo/Kanpezu,Araba/Álava,01,País Vasco
01021,Elburgo/Burgelu,Araba/Álava,01,País Vasco
01022,Elciego,Araba/Álava,01,País Vasco
01023,Elvillar/Bilar,Araba/Álava,01,País Vasco
01046,Erriberagoitia/Ribera Alta,Araba/Álava,01,País Vasco
01056,Harana/Valle de Arana,Araba/Álava,01,País Vasco
01901,Iruña Oka/Iruña de Oca,Araba/Álava,01,País Vasco
01027,Iruraiz-Gauna,Araba/Álava,01,País Vasco
01019,Kripan,Araba/Álava,01,País Vasco
01020,Kuartango,Araba/Álava,01,País Vasco
01028,Labastida/Bastida,Araba/Álava,01,País Vasco
01030,Lagrán,Araba/Álava,01,País Vasco
01031,Laguardia,Araba/Álava,01,País Vasco
01032,Lanciego/Lantziego,Araba/Álava,01,País Vasco
01902,Lantarón,Araba/Álava,01,País Vasco
01033,Lapuebla de Labarca,Araba/Álava,01,País Vasco
01036,Laudio/Llodio,Araba/Álava,01,País Vasco
01058,Legutio,Araba/Álava,01,País Vasco
01034,Leza,Araba/Álava,01,País Vasco
01039,Moreda de Álava/Moreda Araba,Araba/Álava,01,País Vasco
01041,Navaridas,Araba/Álava,01,País Vasco
01042,Okondo,Araba/Álava,01,País Vasco
01043,Oyón-Oion,Araba/Álava,01,País Vasco
01044,Peñacerrada-Urizaharra,Araba/Álava,01,País Vasco
01047,Ribera Baja/Erriberabeitia,Araba/Álava,01,País Vasco
01052,Samaniego,Araba/Álava,01,País Vasco
01053,San Millán/Donemiliaga,Araba/Álava,01,País Vasco
01054,Urkabustaiz,Araba/Álava,01,País Vasco
01055,Valdegovía/Gaubea,Araba/Álava,01,País Vasco
01057,Villabuena de Álava/Eskuernaga,Araba/Álava,01,País Vasco
01059,Vitoria-Gasteiz,Araba/Álava,01,País Vasco
01060,Yécora/Iekora,Araba/Álava,01,País Vasco
01061,Zalduondo,Araba/Álava,01,País Vasco
01062,Zambrana,Araba/Álava,01,País Vasco
01018,Zigoitia,Araba/Álava,01,País Vasco
01063,Zuia,Araba/Álava,01,País Vasco
02001,Abengibre,Albacete,02,Castilla-La Mancha
02002,Alatoz,Albacete,02,Castilla-La Mancha
02003,Albacete,Albacete,02,Castilla-La Mancha
02004,Albatana,Albacete,02,Castilla-La Mancha
02005,Alborea,Albacete,02,Castilla-La Mancha
02006,Alcadozo,Albacete,02,Castilla-La Mancha
02007,Alcalá del Júcar,Albacete,02,Castilla-La Mancha
02008,Alcaraz,Albacete,02,Castilla-La Mancha
02009,Almansa,Albacete,02,Castilla-La Mancha
02010,Alpera,Albacete,02,Castilla-La Mancha
02011,Ayna,Albacete,02,Castilla-La Mancha
02012,Balazote,Albacete,02,Castilla-La Mancha
02014,"Ballestero, El",Albacete,02,Castilla-La Mancha
02013,Balsa de Ves,Albacete,02,Castilla-La Mancha
02015,Barrax,Albacete,02,Castilla-La Mancha
02016,Bienservida,Albacete,02,Castilla-La Mancha
02017,Bogarra,Albacete,02,Castilla-La Mancha
02018,Bonete,Albacete,02,Castilla-La Mancha
02019,"Bonillo, El",Albacete,02,Castilla-La Mancha
02020,Carcelén,Albacete,02,Castilla-La Mancha
02021,Casas de Juan Núñez,Albacete,02,Castilla-La Mancha
02022,Casas de Lázaro,Albacete,02,Castilla-La Mancha
